datapoint;alpha;v
1;-3;40.01
2;-2;40.01
3;-1;40
4;0;39.99
5;1;39.99
6;2;40
7;3;40
8;3.5;39.97
9;4;39.96
10;4.5;39.95
11;5;39.96
12;5.5;39.94
13;6;39.92
14;6.5;39.92
15;7;39.91
16;7.5;39.91
17;8;39.91
18;9;40.06
19;10;40.05
20;11.5;40.05
21;10.5;40.05
22;11;40.05
23;12;40.06
24;12.5;40.05
25;13;40.05
26;13.5;40.04
27;14;40.03
28;14.5;40.03
29;15;40.02
30;15.5;39.98
31;16;39.71
32;16.5;39.7
33;17;39.68
34;17.5;39.67
35;18;39.65
36;17.5;39.99
37;17;39.99
38;16.5;40.01
39;16;40.03
40;15.5;40.03
41;15;40.07
42;14.5;40.12
43;14;40.16
44;13.5;40.34
45;13;40.35
46;12.5;40.37
47;12;40.37
