 		alpha   CL       CD       	CDp       Cm      TopXtr 	BotXtr 	Cpmin    	A    				B								B								XCp
  -2.000  -0.2268   0.00718   0.00210   0.0007  0.7261  0.6230  -0.6074   0.0000   0.0000   0.0000   0.2474
  -1.500  -0.1702   0.00717   0.00204   0.0006  0.7125  0.6378  -0.5399   0.0000   0.0000   0.0000   0.2478
  -0.500  -0.0567   0.00711   0.00192   0.0002  0.6854  0.6607  -0.4816   0.0000   0.0000   0.0000   0.2476
   0.000  -0.0001   0.00712   0.00192   0.0000  0.6730  0.6733  -0.4536   0.0000   0.0000   0.0000   0.4642
   0.500   0.0569   0.00710   0.00192  -0.0002  0.6611  0.6857  -0.4818   0.0000   0.0000   0.0000   0.2488
   1.000   0.1137   0.00715   0.00198  -0.0004  0.6494  0.6987  -0.5103   0.0000   0.0000   0.0000   0.2484
   1.500   0.1705   0.00714   0.00204  -0.0006  0.6380  0.7119  -0.5401   0.0000   0.0000   0.0000   0.2482
   2.000   0.2270   0.00721   0.00211  -0.0007  0.6231  0.7258  -0.6077   0.0000   0.0000   0.0000   0.2476
   2.500   0.2824   0.00722   0.00217  -0.0005  0.6041  0.7409  -0.7497   0.0000   0.0000   0.0000   0.2462
   3.000   0.3375   0.00725   0.00222  -0.0003  0.5781  0.7553  -0.9318   0.0000   0.0000   0.0000   0.2450
   3.500   0.3931   0.00734   0.00234  -0.0002  0.5569  0.7702  -1.1810   0.0000   0.0000   0.0000   0.2444
   4.000   0.4474   0.00743   0.00249   0.0002  0.5283  0.7865  -1.4418   0.0000   0.0000   0.0000   0.2432
   4.500   0.5006   0.00761   0.00268   0.0007  0.4860  0.8037  -1.7205   0.0000   0.0000   0.0000   0.2418
   5.000   0.5437   0.00857   0.00311   0.0028  0.3389  0.8225  -1.9858   0.0000   0.0000   0.0000   0.2378
   5.500   0.5800   0.01024   0.00404   0.0055  0.1654  0.8438  -2.2388   0.0000   0.0000   0.0000   0.2330
   6.000   0.6223   0.01132   0.00484   0.0074  0.0863  0.8688  -2.5207   0.0000   0.0000   0.0000   0.2300
   6.500   0.6666   0.01212   0.00559   0.0093  0.0558  0.8987  -2.8227   0.0000   0.0000   0.0000   0.2276
   7.000   0.7110   0.01289   0.00638   0.0113  0.0409  0.9325  -3.1297   0.0000   0.0000   0.0000   0.2252
   7.500   0.7627   0.01383   0.00734   0.0115  0.0323  0.9654  -3.4632   0.0000   0.0000   0.0000   0.2255
   8.000   0.8257   0.01493   0.00847   0.0090  0.0271  0.9859  -3.8547   0.0000   0.0000   0.0000   0.2293
   9.000   0.9203   0.01728   0.01091   0.0097  0.0227  1.0000  -4.5534   0.0000   0.0000   0.0000   0.2286
   9.500   0.9365   0.01868   0.01234   0.0158  0.0216  1.0000  -4.8072   0.0000   0.0000   0.0000   0.2216
  10.000   0.9643   0.02001   0.01379   0.0194  0.0208  1.0000  -5.1099   0.0000   0.0000   0.0000   0.2176
  10.500   0.9924   0.02163   0.01551   0.0224  0.0200  1.0000  -5.4218   0.0000   0.0000   0.0000   0.2145
  11.000   1.0202   0.02344   0.01740   0.0249  0.0192  1.0000  -5.7491   0.0000   0.0000   0.0000   0.2119
  11.500   1.0413   0.02603   0.02006   0.0276  0.0185  1.0000  -6.0298   0.0000   0.0000   0.0000   0.2091
  12.000   1.0664   0.02843   0.02263   0.0296  0.0181  1.0000  -6.3377   0.0000   0.0000   0.0000   0.2070
  12.500   1.0896   0.03107   0.02546   0.0315  0.0177  1.0000  -6.6501   0.0000   0.0000   0.0000   0.2050
  13.000   1.1097   0.03403   0.02863   0.0331  0.0172  1.0000  -7.0657   0.0000   0.0000   0.0000   0.2032
  13.500   1.1262   0.03738   0.03218   0.0344  0.0167  1.0000  -7.4672   0.0000   0.0000   0.0000   0.2016
  14.000   1.1388   0.04118   0.03617   0.0354  0.0163  1.0000  -7.8464   0.0000   0.0000   0.0000   0.2001
  14.500   1.1468   0.04555   0.04073   0.0359  0.0160  1.0000  -8.1957   0.0000   0.0000   0.0000   0.1989
  15.000   1.1499   0.05059   0.04596   0.0360  0.0158  1.0000  -8.5058   0.0000   0.0000   0.0000   0.1978
  15.500   1.1437   0.05695   0.05255   0.0356  0.0155  1.0000  -8.7218   0.0000   0.0000   0.0000   0.1969
  16.000   1.1246   0.06543   0.06135   0.0339  0.0153  1.0000  -8.7940   0.0000   0.0000   0.0000   0.1968
  16.500   1.1042   0.07495   0.07121   0.0301  0.0152  1.0000  -8.8402   0.0000   0.0000   0.0000   0.1984
  17.000   1.0752   0.08675   0.08334   0.0245  0.0152  1.0000  -8.7644   0.0000   0.0000   0.0000   0.2016
  17.500   1.0366   0.10144   0.09837   0.0166  0.0152  1.0000  -8.5281   0.0000   0.0000   0.0000   0.2071
  18.000   0.9863   0.12000   0.11726   0.0056  0.0153  1.0000  -8.0536   0.0000   0.0000   0.0000   0.2162


